City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
257,Soyo,AO,77.14,overcast clouds,-6.1349,12.3689,Hotel Nempanzu
260,Vao,NC,76.08,clear sky,-22.6667,167.4833,Village IGESA Kuto
262,Lethem,GY,79.45,few clouds,3.3803,-59.7968,myCosyhome
266,Dondo,MZ,71.29,scattered clouds,-19.6094,34.7431,Lourenço Tome Bola Machisso
275,Carutapera,BR,77.25,light rain,-1.195,-46.02,Casa Vitória
277,Kencong,ID,84.07,broken clouds,-8.2833,113.3667,Asrama Assunniyyah 2 ponjen
278,San Andres,CO,78.8,few clouds,12.5847,-81.7006,Hotel Lord Pierre
284,Chimore,BO,76.17,overcast clouds,-16.9833,-65.1333,Hotel Copacabana
286,Yanam,IN,77.0,mist,16.7333,82.2167,Hotel Sarvainn
287,Huarmey,PE,73.63,overcast clouds,-10.0681,-78.1522,Hostel Jaime Crazy
288,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Silvestre Praia Hotel
289,East London,ZA,71.01,broken clouds,-33.0153,27.9116,Premier Hotel Regent
295,Ilheus,BR,74.89,overcast clouds,-14.7889,-39.0494,Jardim Atlântico
297,Acarau,BR,79.36,broken clouds,-2.8856,-40.12,Hotel Municipal de Acaraú
299,Ocos,GT,77.0,clear sky,14.5094,-92.1933,La Bajadita
301,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Queen's Hotel
307,Matara,LK,76.42,clear sky,5.9485,80.5353,Imagine Villa Hotel
310,Tiruttani,IN,75.2,mist,13.177,79.6128,Sri Lakshmi Residency
311,Mazamari,PE,70.9,overcast clouds,-11.3258,-74.5308,Hospedaje El Conquistador
312,Batemans Bay,AU,71.01,clear sky,-35.7167,150.1833,Beach Drive Motel
315,Flinders,AU,78.01,scattered clouds,-34.5833,150.8552,Lazy Dayz Shellharbour
316,Caravelas,BR,77.94,few clouds,-17.7125,-39.2481,Pousada Encanto Abrolhos
329,Kontagora,NG,75.88,few clouds,10.3999,5.4695,Had Resources Hotel
