City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Qasigiannguit,GL,68.8193,-51.1922,21.2,86,90,4.61,overcast clouds
80,Cayenne,GF,4.9333,-52.3333,79.0,94,90,4.61,overcast clouds
81,Axim,GH,4.8699,-2.2405,79.68,86,100,8.12,overcast clouds
82,Barrow,US,71.2906,-156.7887,-7.6,71,1,9.22,clear sky
83,Kodiak,US,57.79,-152.4072,32.0,34,1,29.93,clear sky
84,Almaznyy,RU,48.0448,40.045,15.8,92,0,4.47,clear sky
85,Pasarkemis,ID,-6.1703,106.5303,86.0,78,20,6.91,haze
86,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,90,12.66,light snow
87,Lebu,CL,-37.6167,-73.65,57.87,93,2,4.76,clear sky
88,Kapaa,US,22.0752,-159.319,71.6,78,90,18.41,moderate rain
89,Kirakira,SB,-10.4544,161.9205,83.43,75,100,7.58,overcast clouds
90,Anadyr,RU,64.75,177.4833,-20.0,69,0,2.24,clear sky
91,Vaitape,PF,-16.5167,-151.75,83.46,67,7,11.1,clear sky
92,Prince Rupert,CA,54.3161,-130.3201,42.8,61,90,10.36,overcast clouds
93,Isangel,VU,-19.55,169.2667,81.34,70,65,8.43,broken clouds
94,Ust-Nera,RU,64.5667,143.2,-20.56,76,100,7.0,overcast clouds
95,Luang Prabang,LA,19.8856,102.1347,62.6,72,0,1.52,clear sky
96,Milford,US,41.2223,-73.0565,30.2,40,1,9.22,clear sky
97,Bengkulu,ID,-3.8004,102.2655,73.54,82,100,5.1,overcast clouds
98,Mareeba,AU,-17.0,145.4333,88.0,70,40,9.22,scattered clouds
99,Cidreira,BR,-30.1811,-50.2056,69.94,71,0,3.78,clear sky
100,Jamestown,US,42.097,-79.2353,26.01,95,90,7.27,overcast clouds
101,Bredasdorp,ZA,-34.5322,20.0403,60.8,82,0,6.91,clear sky
102,Along,IN,28.1667,94.7667,62.46,69,75,2.35,broken clouds
103,Atuona,PF,-9.8,-139.0333,79.59,74,51,14.47,broken clouds
104,Butaritari,KI,3.0707,172.7902,80.38,81,9,13.06,clear sky
105,Great Bend,US,38.3645,-98.7648,53.01,62,1,11.5,clear sky
106,Avera,US,33.194,-82.5271,42.8,75,1,3.44,clear sky
107,Manavalakurichi,IN,8.1333,77.3,80.6,78,40,2.77,mist
108,Ahuimanu,US,21.4447,-157.8378,78.01,73,90,12.66,light rain
109,Kholtoson,RU,50.2981,103.3097,22.5,87,0,2.19,clear sky
110,Mezen,RU,65.8522,44.24,-9.54,91,64,6.31,broken clouds
111,Mogadishu,SO,2.0371,45.3438,76.78,83,23,19.06,few clouds
112,Half Moon Bay,US,37.4636,-122.4286,52.0,81,1,12.66,clear sky
113,Constitucion,CL,-35.3333,-72.4167,57.92,88,0,9.71,clear sky
114,Pingliang,CN,35.5392,106.6861,39.85,72,70,6.62,broken clouds
115,Nizhniy Kuranakh,RU,58.8353,125.4869,8.4,92,100,5.66,overcast clouds
116,Olinda,BR,-8.0089,-34.8553,78.8,73,75,5.75,broken clouds
117,Sapa,PH,5.1544,120.3241,82.26,75,43,11.68,scattered clouds
118,Arraial Do Cabo,BR,-22.9661,-42.0278,75.36,90,100,9.06,overcast clouds
119,Lorengau,PG,-2.0226,147.2712,84.92,67,6,6.35,clear sky
120,Chuy,UY,-33.6971,-53.4616,64.27,85,9,3.74,clear sky
121,Viedma,AR,-40.8135,-62.9967,80.91,39,0,12.64,clear sky
122,Japura,ID,-0.3167,102.35,72.95,97,100,1.92,light rain
123,Nazarovo,RU,56.0064,90.3914,22.3,95,39,11.7,scattered clouds
124,Bethel,US,41.3712,-73.414,26.6,43,1,5.75,clear sky
125,Tasiilaq,GL,65.6145,-37.6368,26.6,86,90,19.57,light snow
126,Ludwigslust,DE,53.3167,11.5,36.0,86,100,10.8,overcast clouds
127,Inta,RU,66.0317,60.1659,-16.76,89,89,2.68,overcast clouds
128,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,94,40,12.17,scattered clouds
129,Egvekinot,RU,66.3167,-179.1667,-23.67,88,29,0.89,scattered clouds
130,Ayan,RU,56.45,138.1667,3.25,79,0,10.67,clear sky
131,Cherskiy,RU,68.75,161.3,-10.21,88,100,8.23,overcast clouds
132,Rhyl,GB,53.3196,-3.4886,35.01,84,0,4.0,clear sky
133,Kjollefjord,NO,70.9457,27.3465,30.2,74,75,21.85,light snow
134,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,77,0,12.66,clear sky
135,Katsuura,JP,35.1333,140.3,46.99,52,98,5.99,overcast clouds
136,Hobart,AU,-42.8794,147.3294,70.0,45,75,6.91,broken clouds
137,Guiratinga,BR,-16.3494,-53.7583,71.67,89,100,1.39,moderate rain
138,Lewisporte,CA,49.2499,-55.0482,23.0,86,40,6.91,scattered clouds
139,Kaitangata,NZ,-46.2817,169.8464,57.0,54,75,17.0,broken clouds
140,Saldanha,ZA,-33.0117,17.9442,59.0,77,7,1.14,clear sky
141,Saint-Georges,GD,12.0564,-61.7485,77.0,83,20,17.27,few clouds
142,Altay,CN,47.8667,88.1167,23.05,82,0,4.09,clear sky
143,Swellendam,ZA,-34.0226,20.4417,60.8,82,1,6.91,clear sky
144,Gorontalo,ID,0.5412,123.0595,88.32,56,59,2.01,broken clouds
145,Vila,PT,42.0304,-8.1588,46.0,85,2,5.01,clear sky
146,Bang Saphan,TH,11.2126,99.5117,78.8,94,20,1.14,few clouds
147,North Bend,US,43.4065,-124.2243,48.99,61,90,12.66,overcast clouds
148,Atambua,ID,-9.1061,124.8925,82.06,72,25,2.98,scattered clouds
149,Belaya Gora,RU,68.5333,146.4167,-13.86,88,100,18.68,overcast clouds
150,San Ramon,US,37.7799,-121.978,57.0,71,1,11.5,clear sky
151,Ambon,ID,-3.6954,128.1814,87.8,66,20,3.44,few clouds
152,Cepu,ID,-7.1475,111.5906,81.03,77,69,4.68,broken clouds
153,Luderitz,NA,-26.6481,15.1594,68.25,54,0,13.65,clear sky
154,Suntar,RU,62.1444,117.6319,13.37,96,95,4.0,overcast clouds
155,Folkestone,GB,51.0833,1.1833,37.0,93,40,8.05,scattered clouds
156,Mar Del Plata,AR,-38.0023,-57.5575,66.0,82,0,5.75,clear sky
157,Urubicha,BO,-15.3833,-62.95,71.47,82,0,0.92,clear sky
158,Urucara,BR,-2.5364,-57.76,75.65,94,99,1.21,overcast clouds
159,Mbandaka,CD,0.0487,18.2603,72.0,93,100,5.7,overcast clouds
160,Tando Muhammad Khan,PK,25.123,68.5358,69.06,89,2,12.15,clear sky
161,Lamu,KE,-2.2717,40.902,75.87,86,49,7.02,scattered clouds
162,Newport,GB,51.5877,-2.9984,30.99,82,2,4.0,clear sky
163,Camacha,PT,33.0833,-16.3333,60.8,67,40,14.97,scattered clouds
164,Ust-Maya,RU,60.4167,134.5333,-16.78,85,76,1.68,broken clouds
165,Lensk,RU,60.7253,114.9278,18.28,94,99,7.56,overcast clouds
166,Liverpool,GB,53.4106,-2.9779,33.8,86,90,3.44,overcast clouds
167,Dudinka,RU,69.4058,86.1778,-12.68,90,99,5.19,overcast clouds
168,Codrington,AU,-38.2667,141.9667,72.91,39,100,5.75,overcast clouds
169,Leningradskiy,RU,69.3833,178.4167,-15.65,78,12,4.74,few clouds
170,Kavieng,PG,-2.5744,150.7967,83.17,72,91,4.76,light rain
171,Inhambane,MZ,-23.865,35.3833,72.57,89,26,6.51,scattered clouds
172,Qaanaaq,GL,77.484,-69.3632,-15.57,67,0,5.95,clear sky
173,Cape Coast,GH,5.1053,-1.2466,79.95,86,99,10.87,overcast clouds
174,Awjilah,LY,29.1081,21.2869,60.04,28,0,3.91,clear sky
175,Hay River,CA,60.8156,-115.7999,17.6,79,100,4.61,overcast clouds
176,Alofi,NU,-19.0595,-169.9187,84.2,79,100,8.05,overcast clouds
177,Necochea,AR,-38.5473,-58.7368,62.01,77,0,5.99,clear sky
178,Nanortalik,GL,60.1432,-45.2371,33.73,90,100,7.25,overcast clouds
179,Lavrentiya,RU,65.5833,-171.0,-4.76,89,91,3.27,overcast clouds
180,Camalu,MX,30.85,-116.0667,57.99,56,0,5.01,clear sky
181,Marrakesh,MA,31.6315,-8.0083,50.0,93,40,1.14,scattered clouds
182,Itacoatiara,BR,-3.1431,-58.4442,76.12,88,81,0.69,broken clouds
183,Kamennomostskiy,RU,44.2983,40.1856,27.25,96,99,3.47,snow
184,Deer Lake,CA,49.1667,-57.4316,24.8,63,90,11.5,light snow
185,Saint-Joseph,RE,-21.3667,55.6167,78.8,83,75,13.8,light rain
186,Durusu,TR,41.3053,28.6767,44.01,81,75,18.41,light rain
187,Naze,JP,28.3667,129.4833,68.0,73,75,1.14,broken clouds
188,Beringovskiy,RU,63.05,179.3167,-13.36,89,100,9.51,light snow
189,Port Macquarie,AU,-31.4333,152.9167,78.01,60,90,4.34,overcast clouds
190,Chapais,CA,49.7834,-74.8492,3.2,72,90,16.11,light snow
191,Bathsheba,BB,13.2167,-59.5167,78.8,69,20,21.85,few clouds
192,Okha,RU,53.5739,142.9478,-3.66,87,0,14.63,clear sky
193,Shubarkuduk,KZ,49.1447,56.4872,32.41,95,100,16.73,overcast clouds
194,Coquimbo,CL,-29.9533,-71.3436,62.6,88,0,3.44,clear sky
195,Nosy Varika,MG,-20.5833,48.5333,74.91,88,0,10.2,clear sky
196,Yulara,AU,-25.2406,130.9889,87.8,35,58,2.3,broken clouds
197,Namtsy,RU,62.7161,129.6658,-29.2,68,81,2.24,mist
198,Airai,TL,-8.9266,125.4092,73.69,71,26,1.97,scattered clouds
199,Makakilo City,US,21.3469,-158.0858,78.8,53,20,10.36,light rain
200,Ribeira Grande,PT,38.5167,-28.7,61.74,95,71,9.53,broken clouds
201,Ancud,CL,-41.8697,-73.8203,59.0,100,90,2.3,fog
202,Carnarvon,AU,-24.8667,113.6333,84.2,70,0,12.66,clear sky
203,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,100,75,16.11,light intensity drizzle
204,Mackenzie,CA,55.2999,-123.1698,35.6,64,1,5.75,clear sky
205,Jaque,PA,7.5175,-78.1703,79.48,77,5,8.88,clear sky
206,Tailai,CN,46.3833,123.4,31.12,76,0,7.63,clear sky
207,Torbay,CA,47.6666,-52.7314,30.99,86,75,16.11,broken clouds
208,Iqaluit,CA,63.7506,-68.5145,-4.0,77,40,26.46,snow
209,Ca Mau,VN,9.1769,105.15,83.62,63,95,9.89,overcast clouds
210,Neuquen,AR,-38.9516,-68.0591,77.0,57,0,2.3,clear sky
211,Nome,US,64.5011,-165.4064,14.0,92,90,25.32,heavy snow
212,Qarqin,AF,37.4185,66.0436,42.93,80,60,4.68,broken clouds
213,Fortuna,US,40.5982,-124.1573,48.99,61,1,3.44,clear sky
